userId,recommendedItems
kakao2192482179,"['LDsDoEsreKNcS6GUq3H1', 'G0Jko1vdSBle5A6DgkkG', 'hoLSB5FdepaYtLrm6zZw', 'h5FwB3mlXd9Z0zwMMQtt', 'tc4HO2QBtuOlHPYWUILG', 'moYKLXDrO2k0QXOK4dip', 'vXcO1iZbdpyZoLH2Aq4S', 'Y43DsSESpZQd3wUA9s16', 'pSUMF0cjZoogJ9PBskKi', 'SwUgMr0MDAPXSPgLsD01']"
kakao1740174198,"['uwErmEEKS1zYQG0n9qgT', 'n68JnEv9yvfgk9wJYW9n', 'v4biBdYz5wIqcIikubdL', 'mhW751lXzTEMEMQMG0eH', '8g4FzCqJG7m6dAeXDJAI', 'cFPH1NmazqtBBdLeEh4q', '9rd85ZzWpgkK6WnELudF', '6tfAi43w9iMWrjijpZTo', 'dGZZYjDvTZrWM5CvylYz', 'S7s2wPprPgM1ndVcuJYZ']"
SHfwvL8rKGPsbQRHs4ANXurav9y2,"['ROhCRMUt26a6YPfwkgpd', 'sfCxoddIvlEWDmBXckPt', '8M17w9FOKq2lDZ33f6VD', 'XljRmyRDXU0rXCQuAtMO', 'RmrRJPjdU6BjCduu6ZUN', '82nk37mEjmtv89bMHzQf', '8GHNVOLwTAeaihbuMzEv', '315Q19v2UzhkELv2X4Xa', 'P7cd3fwjMMUhtqmkekz3', '58uVeaWzzZWvLHWX5jKO']"
kakao1414049702,"['JwBASpzUwyNWifPL2MMd', 'rmnOGYTnVwFJQqStdAig', 'BbI0hqIhmTBZZ3xZ8w1F', '4IRFvYQUJIJ3f2ePxUkh', 'yvDjDtP359DdbfPleIUf', 'pYQwXpkqlaT6XWKxKWaj', 'ORyv8X6Gbni7CqT3USqr', 'WhSpqO9qMxOq9Zaf0DxV', 'HtEba9WtklDYfPxzqCHB', 'wwBkBmvcmbgKMHQIe5Er']"
kakao2114350288,"['JiX25h9pCcPVz4HtNrfX', 'lwzKTSAxDVXFLl0VBFYj', 'QQN1RZ0hnWYL5rWuYvcm', 'rSZgimvNQQzGqSl0142V', 'RILKh5oxiFP9NjCIAj4L', 'iE1dNfJsdt0q8AFJ1XpH', '6r2H87xpI7vuyIAjnLXx', '5NI9ErVzezsORFbx6YDk', 'qQbmdDip6lBrzPKFHlFE', 'HQrpOdQLDnL4Pw0OZy36']"
kakao1359251341,"['CEiXCoBHGHPW0LBLlzrd', '8fGdjI8KZKLFBvZf7j3l', 'NaU8WV4wlebvUgcyilgm', 'HaQfATCmPLOu8yqtKfQC', 'DnBwkpXT4J3iLHOiTcV8', 'Gpu6Wcm18Kzv6CHAl0vo', 'mrHFrCxxZgSjumzFdCNu', '5YJjnW2pamgtUFeMqp32', 'eoRWV33KBKEx8hJwX0mI', 'EMOZiiQ5mVoydKXdQZYr']"
kakao1499114534,"['26eG9PPddJ5hvTqwMag6', 'k0HphWKX8QdxbqDaRCye', 'eZjzmWO4upmQEEFCJC5h', 'BXRuB8FQTcyCY4d3xT33', '1xVIZwwVNXxvIUt2sQX7', '7LOaDa9y7IB6DiiFyMF3', 'La524pIX0opXN7Nqt57j', 'w9CMyWDMsLnH3D0FN0Mp', 'xfAhZZ943BNafDbEOIHE', 'EMOZiiQ5mVoydKXdQZYr']"
naver82029241,"['V57pk7lFg66XonEgZQUG', 'R2S4wEoWCh2srbXkxlcG', '869pu0yIfIU2cP9up69C', 'NaU8WV4wlebvUgcyilgm', 'cHL2tU9SaUEzScrIor3F', 'VZJkwXxlFA4D0o5ulqyK', '0FrGd5dq4wTtHV81VrJx', '1s4ZKktBH0CL2n91Z4Fc', 'po0RnlDQqjZmSqf6Qs11', 'rvVa1msTBNlzKwWI1Uk4']"
LQsct1kz9bVCNYbABwLvP8fw7ug1,"['BjkCb7AJ62j1x7nZ0yaM', 'QAm5bifGxXMD1jKU6DLv', 'v4biBdYz5wIqcIikubdL', 'pSUMF0cjZoogJ9PBskKi', 'FrtIeehIYa1p7PIeNOsf', 'tc4HO2QBtuOlHPYWUILG', 'fJvaOjrj31DCqfoXUz1Q', 'qnLvPlac6SDvq9dLEFwy', 'k18sYqFPhzGrIvyLUmfa', 'moYKLXDrO2k0QXOK4dip']"
kakao1641795663,"['JIGdVpbXb0NxReO0kDd7', 'kgsiyt8lljNXVAapTgX2', 'sfCxoddIvlEWDmBXckPt', 'AFHngWIXP0Lx5l3l4Cvv', 'i35klKpHC0u0B7arOk0Z', 'h2dhpUvG2kODGKj8fwgv', 'xYrsw8BM6wFjcmJkj1Zl', 'oQvzkWWSl3aWOteHXM06', '9fp7JldIX9SqISLIk3VO', 'UhSyqzFZ1vrP8TTOd6AE']"
kakao2210716480,"['ngBNLJZUFcPrYywuq3tm', 'oneOsznr5gRHDmFReCPp', 'lFQRg8IiM2rvNQ7yQVlR', 'sfCxoddIvlEWDmBXckPt', 'QAm5bifGxXMD1jKU6DLv', '315Q19v2UzhkELv2X4Xa', '0OHbRDXnYFWigCuwxXHQ', '6PhjgFl7CldOCg7yv6mX', 'EMOZiiQ5mVoydKXdQZYr', 'zB1VKXYMqzMmVG2IUgnH']"
naver50655609,"['PlTDjeMqSWZorfrn35gm', 'NOD2fkSYJhOSU0krZ7ff', 'GSHKhjspN0yR5fYekpOR', 'sGYWdCuad8iDC5fUJ1gY', 'DHf3JvhIN9NIpzaaKKgL', 'pqgcVxLDM8fE52hGQsqs', 'uwErmEEKS1zYQG0n9qgT', 'QAm5bifGxXMD1jKU6DLv', 'OgDpqWrzUcLpMWAqWDZf', 'pw3iOZSdxUd3ArBgWEri']"
